maxi:1.354402E+00	mini:3.530169E-01
3.530169E-01	1.986821E-08
3.631318E-01	0.000000E+00
3.732468E-01	0.000000E+00
3.833618E-01	3.973643E-08
3.934768E-01	9.934107E-08
4.035918E-01	7.947286E-08
4.137068E-01	1.192093E-07
4.238218E-01	1.986821E-07
4.339368E-01	3.377597E-07
4.440518E-01	2.781550E-07
4.541668E-01	4.967054E-07
4.642818E-01	5.364418E-07
4.743968E-01	7.351240E-07
4.845118E-01	9.139379E-07
4.946268E-01	1.370907E-06
5.047418E-01	2.165635E-06
5.148568E-01	3.079573E-06
5.249718E-01	3.377597E-06
5.350868E-01	4.808108E-06
5.452018E-01	6.457170E-06
5.553168E-01	8.225441E-06
5.654318E-01	9.675821E-06
5.755468E-01	1.398722E-05
5.856618E-01	1.587470E-05
5.957768E-01	1.974901E-05
6.058918E-01	2.511342E-05
6.160068E-01	3.165007E-05
6.261218E-01	3.929933E-05
6.362368E-01	4.855792E-05
6.463518E-01	6.246567E-05
6.564668E-01	8.026759E-05
6.665818E-01	1.035333E-04
6.766968E-01	1.348654E-04
6.868118E-01	1.754761E-04
6.969268E-01	2.223055E-04
7.070418E-01	2.991160E-04
7.171568E-01	3.919204E-04
7.272718E-01	5.293091E-04
7.373868E-01	6.852547E-04
7.475018E-01	9.083947E-04
7.576167E-01	1.205822E-03
7.677317E-01	1.572788E-03
7.778467E-01	2.029637E-03
7.879617E-01	2.614200E-03
7.980767E-01	3.296018E-03
8.081917E-01	4.109402E-03
8.183067E-01	5.007863E-03
8.284217E-01	5.977074E-03
8.385367E-01	6.986280E-03
8.486517E-01	8.075476E-03
8.587667E-01	9.296715E-03
8.688817E-01	1.069031E-02
8.789967E-01	1.224969E-02
8.891117E-01	1.406316E-02
8.992267E-01	1.620140E-02
9.093417E-01	1.856746E-02
9.194567E-01	2.126962E-02
9.295717E-01	2.437675E-02
9.396867E-01	2.811380E-02
9.498017E-01	3.285513E-02
9.599167E-01	3.908265E-02
9.700317E-01	4.726336E-02
9.801467E-01	5.723788E-02
9.902617E-01	6.699818E-02
1.000377E+00	7.269295E-02
1.010492E+00	7.139814E-02
1.020607E+00	6.439300E-02
1.030722E+00	5.526555E-02
1.040837E+00	4.661548E-02
1.050952E+00	3.943406E-02
1.061067E+00	3.365823E-02
1.071182E+00	2.897998E-02
1.081297E+00	2.499052E-02
1.091412E+00	2.133650E-02
1.101527E+00	1.817362E-02
1.111642E+00	1.542590E-02
1.121757E+00	1.311368E-02
1.131872E+00	1.122262E-02
1.141987E+00	9.637177E-03
1.152102E+00	8.202434E-03
1.162217E+00	6.842832E-03
1.172332E+00	5.439520E-03
1.182447E+00	4.020214E-03
1.192562E+00	2.702812E-03
1.202677E+00	1.641532E-03
1.212792E+00	9.138187E-04
1.222907E+00	4.672607E-04
1.233022E+00	2.406240E-04
1.243137E+00	1.157324E-04
1.253252E+00	5.642573E-05
1.263367E+00	2.652407E-05
1.273482E+00	1.315276E-05
1.283597E+00	5.225341E-06
1.293712E+00	2.344449E-06
1.303827E+00	8.742015E-07
1.313942E+00	2.582868E-07
1.324057E+00	1.390775E-07
1.334172E+00	0.000000E+00
1.344287E+00	3.973643E-08
1.354402E+00	1.986821E-08
