maxi:1.604553E+00	mini:1.114543E-05
1.114543E-05	1.486142E-05
1.621864E-02	3.113349E-05
3.242614E-02	3.220638E-05
4.863364E-02	3.286203E-05
6.484114E-02	3.319979E-05
8.104864E-02	3.606081E-05
9.725614E-02	4.037221E-05
1.134636E-01	4.466375E-05
1.296711E-01	5.102158E-05
1.458786E-01	5.602837E-05
1.620861E-01	6.248554E-05
1.782936E-01	7.047256E-05
1.945011E-01	8.082390E-05
2.107086E-01	9.324153E-05
2.269161E-01	1.058976E-04
2.431236E-01	1.205802E-04
2.593311E-01	1.384616E-04
2.755386E-01	1.611312E-04
2.917461E-01	1.846353E-04
3.079536E-01	2.096891E-04
3.241611E-01	2.428691E-04
3.403686E-01	2.795259E-04
3.565761E-01	3.255208E-04
3.727836E-01	3.707012E-04
3.889911E-01	4.265904E-04
4.051986E-01	4.954338E-04
4.214061E-01	5.684694E-04
4.376136E-01	6.550749E-04
4.538211E-01	7.512371E-04
4.700286E-01	8.687377E-04
4.862361E-01	9.988149E-04
5.024436E-01	1.141568E-03
5.186511E-01	1.319766E-03
5.348586E-01	1.504004E-03
5.510661E-01	1.732568E-03
5.672736E-01	1.980881E-03
5.834811E-01	2.273023E-03
5.996886E-01	2.588173E-03
6.158961E-01	2.983451E-03
6.321036E-01	3.418863E-03
6.483111E-01	3.916701E-03
6.645186E-01	4.455447E-03
6.807261E-01	5.129158E-03
6.969336E-01	5.898237E-03
7.131411E-01	6.745895E-03
7.293486E-01	7.686694E-03
7.455561E-01	8.786599E-03
7.617636E-01	1.001398E-02
7.779711E-01	1.138550E-02
7.941786E-01	1.295712E-02
8.103861E-01	1.465376E-02
8.265936E-01	1.654406E-02
8.428011E-01	1.853166E-02
8.590086E-01	2.067824E-02
8.752161E-01	2.299192E-02
8.914236E-01	2.539368E-02
9.076311E-01	2.798394E-02
9.238386E-01	3.071791E-02
9.400461E-01	3.346986E-02
9.562535E-01	3.640827E-02
9.724610E-01	3.952259E-02
9.886685E-01	4.235252E-02
1.004876E+00	4.488955E-02
1.021084E+00	4.665681E-02
1.037291E+00	4.751247E-02
1.053499E+00	4.764609E-02
1.069706E+00	4.723638E-02
1.085914E+00	4.610316E-02
1.102121E+00	4.405868E-02
1.118329E+00	4.133141E-02
1.134536E+00	3.793075E-02
1.150744E+00	3.378208E-02
1.166951E+00	2.915291E-02
1.183159E+00	2.434013E-02
1.199366E+00	1.976291E-02
1.215574E+00	1.566422E-02
1.231781E+00	1.208800E-02
1.247989E+00	9.022375E-03
1.264196E+00	6.499032E-03
1.280404E+00	4.561683E-03
1.296611E+00	3.136357E-03
1.312819E+00	2.127588E-03
1.329026E+00	1.401027E-03
1.345234E+00	9.218454E-04
1.361441E+00	5.817016E-04
1.377649E+00	3.569921E-04
1.393856E+00	2.121727E-04
1.410064E+00	1.246333E-04
1.426271E+00	6.894271E-05
1.442479E+00	3.776948E-05
1.458686E+00	2.042452E-05
1.474893E+00	1.132488E-05
1.491101E+00	5.622705E-06
1.507308E+00	2.940496E-06
1.523516E+00	1.529853E-06
1.539723E+00	6.357829E-07
1.555931E+00	4.768372E-07
1.572138E+00	2.582868E-07
1.588346E+00	2.185504E-07
1.604553E+00	5.960464E-08
