maxi:1.540443E+00	mini:9.573916E-04
9.573916E-04	3.377597E-07
1.650775E-02	6.755193E-07
3.205811E-02	6.755193E-07
4.760847E-02	6.755193E-07
6.315883E-02	7.351240E-07
7.870919E-02	9.338061E-07
9.425955E-02	1.013279E-06
1.098099E-01	1.311302E-06
1.253603E-01	1.509984E-06
1.409106E-01	1.569589E-06
1.564610E-01	2.165635E-06
1.720114E-01	2.741814E-06
1.875617E-01	2.940496E-06
2.031121E-01	4.510085E-06
2.186624E-01	4.649162E-06
2.342128E-01	6.814798E-06
2.497632E-01	8.503596E-06
2.653135E-01	1.062949E-05
2.808639E-01	1.277526E-05
2.964142E-01	1.662970E-05
3.119646E-01	1.978874E-05
3.275150E-01	2.622604E-05
3.430653E-01	3.202756E-05
3.586157E-01	3.830592E-05
3.741660E-01	5.058448E-05
3.897164E-01	6.026030E-05
4.052668E-01	7.706881E-05
4.208171E-01	9.628137E-05
4.363675E-01	1.160304E-04
4.519178E-01	1.469851E-04
4.674682E-01	1.795093E-04
4.830186E-01	2.186100E-04
4.985689E-01	2.656778E-04
5.141193E-01	3.338257E-04
5.296696E-01	4.025300E-04
5.452200E-01	4.915992E-04
5.607704E-01	5.950133E-04
5.763207E-01	7.167459E-04
5.918711E-01	8.674065E-04
6.074214E-01	1.055102E-03
6.229718E-01	1.276433E-03
6.385222E-01	1.539946E-03
6.540725E-01	1.871745E-03
6.696229E-01	2.271314E-03
6.851732E-01	2.755185E-03
7.007236E-01	3.349364E-03
7.162740E-01	4.066586E-03
7.318243E-01	4.953702E-03
7.473747E-01	6.025314E-03
7.629250E-01	7.258018E-03
7.784754E-01	8.772989E-03
7.940258E-01	1.050260E-02
8.095761E-01	1.253005E-02
8.251265E-01	1.474226E-02
8.406768E-01	1.720275E-02
8.562272E-01	1.986684E-02
8.717776E-01	2.269113E-02
8.873279E-01	2.596329E-02
9.028783E-01	2.949373E-02
9.184286E-01	3.322977E-02
9.339790E-01	3.728765E-02
9.495294E-01	4.169387E-02
9.650797E-01	4.680606E-02
9.806301E-01	5.240534E-02
9.961804E-01	5.728126E-02
1.011731E+00	5.977009E-02
1.027281E+00	5.921916E-02
1.042832E+00	5.677732E-02
1.058382E+00	5.361730E-02
1.073932E+00	5.005125E-02
1.089483E+00	4.578318E-02
1.105033E+00	4.093663E-02
1.120583E+00	3.585289E-02
1.136134E+00	3.069405E-02
1.151684E+00	2.562833E-02
1.167234E+00	2.053314E-02
1.182785E+00	1.563984E-02
1.198335E+00	1.141437E-02
1.213885E+00	8.056601E-03
1.229436E+00	5.506714E-03
1.244986E+00	3.613710E-03
1.260537E+00	2.228796E-03
1.276087E+00	1.304229E-03
1.291637E+00	7.518331E-04
1.307188E+00	4.171133E-04
1.322738E+00	2.324581E-04
1.338288E+00	1.268784E-04
1.353839E+00	6.721417E-05
1.369389E+00	3.306071E-05
1.384939E+00	1.758337E-05
1.400490E+00	8.920829E-06
1.416040E+00	4.688899E-06
1.431591E+00	2.404054E-06
1.447141E+00	9.735425E-07
1.462691E+00	3.576279E-07
1.478242E+00	2.185504E-07
1.493792E+00	5.960464E-08
1.509342E+00	1.986821E-08
1.524893E+00	3.973643E-08
1.540443E+00	1.986821E-08
