4.188790E-02	3.469501E-01	3.457041E+00	1.159581E-31	1.410063E-13	3.285484E-13
6.283185E-02	-1.646343E+00	9.008178E+00	3.924708E-04	1.266212E-12	1.124249E-12
8.377580E-02	-3.455059E+00	1.862531E+01	4.982120E-03	5.197915E-12	3.220295E-12
1.047198E-01	1.314866E+00	1.863533E+01	2.308823E-02	1.187176E-11	5.326995E-12
1.256637E-01	4.082915E+00	2.229236E+01	4.020347E-02	2.705900E-11	9.170078E-12
1.466077E-01	6.889619E+00	2.587883E+01	2.308430E-02	5.164088E-11	1.477488E-11
1.675516E-01	4.680709E+00	2.925923E+01	4.941102E-02	8.754844E-11	2.435861E-11
1.884956E-01	7.335604E-01	3.032589E+01	1.991427E-02	1.372612E-10	3.209921E-11
2.094395E-01	-1.664645E+00	3.108558E+01	9.915560E-02	2.030269E-10	4.509382E-11
2.303835E-01	5.860473E+00	3.827186E+01	1.735304E-02	3.215608E-10	5.889603E-11
2.513274E-01	4.944787E+00	4.061524E+01	7.830176E-02	4.495593E-10	8.020533E-11
2.722714E-01	3.979881E+00	3.914512E+01	6.608352E-02	6.333371E-10	9.863048E-11
2.932153E-01	1.139262E+01	4.588401E+01	9.731505E-02	8.124702E-10	1.297794E-10
3.141593E-01	1.278386E+01	4.679379E+01	7.936959E-02	1.142449E-09	1.486163E-10
3.351032E-01	1.431935E+01	4.754407E+01	2.556398E-02	1.445790E-09	1.831026E-10
3.560472E-01	9.766391E+00	4.994657E+01	3.808022E-02	1.856286E-09	2.197608E-10
3.769911E-01	1.530939E+01	5.475990E+01	5.429861E-02	2.355461E-09	2.697675E-10
3.979351E-01	1.513204E+01	5.312232E+01	3.513820E-02	2.986485E-09	3.032683E-10
4.188790E-01	1.099366E+01	5.583515E+01	3.916474E-02	3.698630E-09	3.619960E-10
4.398230E-01	1.649686E+01	5.753499E+01	6.026963E-02	4.400224E-09	4.050095E-10
4.607669E-01	1.981748E+01	6.264699E+01	7.474186E-02	5.601230E-09	4.729121E-10
4.817109E-01	1.559135E+01	6.389467E+01	6.404481E-02	6.594794E-09	5.522356E-10
5.026548E-01	3.639356E+01	6.534620E+01	7.501700E-02	8.159987E-09	5.993258E-10
5.235988E-01	3.111896E+01	6.829009E+01	6.994848E-02	9.374563E-09	7.092135E-10
5.445427E-01	3.266889E+01	6.994264E+01	5.722461E-02	1.100820E-08	7.920785E-10
5.654867E-01	3.819646E+01	7.684133E+01	5.285397E-02	1.346663E-08	8.847252E-10
5.864306E-01	3.384979E+01	7.593891E+01	6.859187E-02	1.484585E-08	1.000139E-09
6.073746E-01	3.762042E+01	7.581862E+01	5.196946E-02	1.739304E-08	1.095595E-09
6.283185E-01	4.692641E+01	7.921538E+01	9.477699E-02	2.016243E-08	1.220666E-09
6.492625E-01	4.798270E+01	8.163262E+01	8.598706E-02	2.331039E-08	1.358620E-09
6.702064E-01	5.034581E+01	8.595303E+01	8.301105E-02	2.663740E-08	1.517339E-09
6.911504E-01	5.666391E+01	8.215262E+01	1.213003E-01	2.958041E-08	1.630139E-09
7.120943E-01	6.349340E+01	8.694858E+01	7.970982E-02	3.441032E-08	1.781673E-09
7.330383E-01	6.278009E+01	8.981091E+01	7.872315E-02	3.939018E-08	1.954451E-09
7.539822E-01	5.881302E+01	8.786099E+01	1.070918E-01	4.338650E-08	2.127757E-09
7.749262E-01	6.266464E+01	9.099055E+01	1.184184E-01	4.872044E-08	2.330700E-09
7.958701E-01	6.525292E+01	9.035218E+01	1.061664E-01	5.366009E-08	2.525739E-09
8.168141E-01	7.355946E+01	9.210430E+01	1.125222E-01	6.029770E-08	2.758219E-09
8.377580E-01	7.320866E+01	9.424012E+01	1.203888E-01	6.700378E-08	2.946125E-09
8.587020E-01	6.773307E+01	9.374450E+01	1.242025E-01	7.358480E-08	3.184957E-09
8.796459E-01	8.461178E+01	9.791235E+01	1.157140E-01	8.168228E-08	3.507183E-09
9.005899E-01	7.707602E+01	9.384114E+01	1.245278E-01	8.752253E-08	3.673403E-09
9.215338E-01	8.481591E+01	9.864503E+01	1.565051E-01	9.878048E-08	4.002153E-09
9.424778E-01	8.764845E+01	9.757471E+01	1.310563E-01	1.068570E-07	4.236427E-09
9.634217E-01	8.944751E+01	9.762290E+01	1.421212E-01	1.171132E-07	4.530336E-09
9.843657E-01	8.809607E+01	9.701873E+01	1.595345E-01	1.260019E-07	4.830157E-09
1.005310E+00	8.831408E+01	9.667567E+01	1.445069E-01	1.366548E-07	5.201373E-09
1.026254E+00	9.668720E+01	9.978042E+01	1.291850E-01	1.516409E-07	5.484756E-09
1.047198E+00	8.531984E+01	9.651850E+01	1.194506E-01	1.623171E-07	5.778375E-09
1.068142E+00	9.250827E+01	1.010920E+02	1.346702E-01	1.781060E-07	6.211319E-09
1.089085E+00	9.776803E+01	9.919741E+01	1.555463E-01	1.895836E-07	6.635869E-09
1.110029E+00	1.065520E+02	1.010258E+02	1.588089E-01	2.064086E-07	7.087290E-09
1.130973E+00	1.013801E+02	1.019790E+02	1.442495E-01	2.223777E-07	7.500220E-09
1.151917E+00	1.062664E+02	9.888351E+01	1.553615E-01	2.333312E-07	7.925560E-09
1.172861E+00	1.047619E+02	9.954582E+01	1.505536E-01	2.518061E-07	8.357330E-09
1.193805E+00	1.072081E+02	9.973532E+01	1.356052E-01	2.683368E-07	8.898091E-09
1.214749E+00	1.094103E+02	9.929281E+01	1.580384E-01	2.880579E-07	9.379530E-09
1.235693E+00	1.030660E+02	9.855789E+01	1.361273E-01	3.066566E-07	9.823007E-09
