    0.60000E+01    0.12566E+00   -0.59576E+04    0.19655E+00    0.43609E+04
    0.71088E+01    0.14889E+00    0.40394E+04    0.22863E+00    0.28518E+04
    0.84226E+01    0.17640E+00    0.81789E+03    0.28028E+00    0.20949E+04
    0.99791E+01    0.20900E+00    0.15852E+04    0.31455E+00    0.15070E+04
    0.11823E+02    0.24763E+00    0.16772E+04    0.38105E+00    0.11501E+04
    0.14008E+02    0.29339E+00    0.74912E+03    0.43676E+00    0.82043E+03
    0.16597E+02    0.34761E+00    0.12824E+04    0.51086E+00    0.59937E+03
    0.19664E+02    0.41185E+00    0.15919E+04    0.59214E+00    0.43088E+03
    0.23299E+02    0.48797E+00    0.72321E+03    0.67005E+00    0.31463E+03
    0.27604E+02    0.57814E+00    0.14535E+04    0.73668E+00    0.22774E+03
    0.32706E+02    0.68499E+00    0.14006E+04    0.81637E+00    0.16492E+03
    0.38750E+02    0.81158E+00    0.12657E+04    0.87991E+00    0.12298E+03
    0.45911E+02    0.96156E+00    0.12608E+04    0.93915E+00    0.91855E+02
    0.54396E+02    0.11393E+01    0.14274E+04    0.97310E+00    0.67559E+02
    0.64449E+02    0.13498E+01    0.13665E+04    0.98394E+00    0.50574E+02
    0.76359E+02    0.15993E+01    0.94710E+03    0.97562E+00    0.38403E+02
    0.90471E+02    0.18948E+01    0.63853E+04    0.96165E+00    0.31434E+02
    0.10719E+03    0.22450E+01    0.23770E+04    0.97308E+00    0.26277E+02
    0.12700E+03    0.26599E+01    0.64544E+05    0.10275E+01    0.39723E+02
