    0.12566E+00    0.24618E+02
    0.14889E+00    0.23407E+02
    0.17640E+00    0.25354E+02
    0.20900E+00    0.23543E+02
    0.24763E+00    0.24080E+02
    0.29339E+00    0.24235E+02
    0.34761E+00    0.23107E+02
    0.41185E+00    0.23110E+02
    0.48797E+00    0.22331E+02
    0.57814E+00    0.21636E+02
    0.68499E+00    0.21120E+02
    0.81158E+00    0.20765E+02
    0.96156E+00    0.20563E+02
    0.11393E+01    0.20199E+02
    0.13498E+01    0.19826E+02
    0.15993E+01    0.19539E+02
    0.18948E+01    0.19605E+02
    0.22450E+01    0.21578E+02
    0.26599E+01    0.29618E+02
