    0.12566E+00    0.38113E+00
    0.14889E+00    0.45882E+00
    0.17640E+00    0.44042E+00
    0.20900E+00    0.41813E+00
    0.24763E+00    0.38098E+00
    0.29339E+00    0.33039E+00
    0.34761E+00    0.30125E+00
    0.41185E+00    0.28341E+00
    0.48797E+00    0.26615E+00
    0.57814E+00    0.24109E+00
    0.68499E+00    0.22271E+00
    0.81158E+00    0.20335E+00
    0.96156E+00    0.19551E+00
    0.11393E+01    0.18915E+00
    0.13498E+01    0.18258E+00
    0.15993E+01    0.17769E+00
    0.18948E+01    0.18100E+00
    0.22450E+01    0.21336E+00
    0.26599E+01    0.27967E+00
