    0.12566E+00    0.75038E+01
    0.14889E+00    0.87505E+01
    0.17640E+00    0.10726E+02
    0.20900E+00    0.11949E+02
    0.24763E+00    0.14522E+02
    0.29339E+00    0.16518E+02
    0.34761E+00    0.19337E+02
    0.41185E+00    0.22377E+02
    0.48797E+00    0.25328E+02
    0.57814E+00    0.28186E+02
    0.68499E+00    0.31554E+02
    0.81158E+00    0.34959E+02
    0.96156E+00    0.38889E+02
    0.11393E+01    0.42459E+02
    0.13498E+01    0.45414E+02
    0.15993E+01    0.46703E+02
    0.18948E+01    0.46568E+02
    0.22450E+01    0.45874E+02
    0.26599E+01    0.49800E+02
