    0.12566E+00    0.56479E+01
    0.14889E+00    0.66655E+01
    0.17640E+00    0.81245E+01
    0.20900E+00    0.91506E+01
    0.24763E+00    0.11379E+02
    0.29339E+00    0.13040E+02
    0.34761E+00    0.15561E+02
    0.41185E+00    0.18863E+02
    0.48797E+00    0.22712E+02
    0.57814E+00    0.26833E+02
    0.68499E+00    0.32207E+02
    0.81158E+00    0.37895E+02
    0.96156E+00    0.43143E+02
    0.11393E+01    0.48055E+02
    0.13498E+01    0.50868E+02
    0.15993E+01    0.52128E+02
    0.18948E+01    0.52181E+02
    0.22450E+01    0.52601E+02
    0.26599E+01    0.54244E+02
