    0.12566E+00    0.48331E+01
    0.14889E+00    0.58744E+01
    0.17640E+00    0.71416E+01
    0.20900E+00    0.80047E+01
    0.24763E+00    0.10178E+02
    0.29339E+00    0.11971E+02
    0.34761E+00    0.14471E+02
    0.41185E+00    0.17925E+02
    0.48797E+00    0.22097E+02
    0.57814E+00    0.26400E+02
    0.68499E+00    0.32120E+02
    0.81158E+00    0.37229E+02
    0.96156E+00    0.42284E+02
    0.11393E+01    0.47011E+02
    0.13498E+01    0.49986E+02
    0.15993E+01    0.51672E+02
    0.18948E+01    0.52707E+02
    0.22450E+01    0.54077E+02
    0.26599E+01    0.56958E+02
