1.256637E-01	8.118680E+00	9.181113E+00
1.488872E-01	8.613253E+00	1.038863E+01
1.764024E-01	1.001485E+01	1.252637E+01
2.090027E-01	1.234220E+01	1.448589E+01
2.476277E-01	1.336857E+01	1.604269E+01
2.933909E-01	1.600685E+01	1.953376E+01
3.476114E-01	1.939978E+01	2.367034E+01
4.118522E-01	2.187133E+01	2.596732E+01
4.879651E-01	2.543903E+01	2.994590E+01
5.781441E-01	2.887878E+01	3.420476E+01
6.849888E-01	3.331575E+01	3.944717E+01
8.115790E-01	3.824208E+01	4.475199E+01
9.615640E-01	4.343388E+01	4.997271E+01
1.139267E+00	4.852936E+01	5.537750E+01
1.349811E+00	5.155419E+01	5.718606E+01
1.599264E+00	5.228766E+01	5.705580E+01
1.894818E+00	5.148192E+01	5.566638E+01
2.244993E+00	5.041791E+01	5.617248E+01
2.659882E+00	5.015123E+01	5.971673E+01
