maxi:1.605103E+00	mini:0.000000E+00
0.000000E+00	9.437402E-06
1.621316E-02	1.819928E-05
3.242631E-02	1.941125E-05
4.863947E-02	2.026558E-05
6.485263E-02	2.245108E-05
8.106578E-02	2.336502E-05
9.727894E-02	2.761682E-05
1.134921E-01	3.051758E-05
1.297053E-01	3.308058E-05
1.459184E-01	3.939867E-05
1.621316E-01	4.508098E-05
1.783447E-01	5.018711E-05
1.945579E-01	5.747875E-05
2.107710E-01	6.657839E-05
2.269842E-01	7.774433E-05
2.431974E-01	8.869171E-05
2.594105E-01	1.008908E-04
2.756237E-01	1.194278E-04
2.918368E-01	1.357595E-04
3.080500E-01	1.613100E-04
3.242631E-01	1.912912E-04
3.404763E-01	2.186100E-04
3.566895E-01	2.554456E-04
3.729026E-01	2.965132E-04
3.891158E-01	3.399452E-04
4.053289E-01	3.999273E-04
4.215421E-01	4.717906E-04
4.377552E-01	5.395214E-04
4.539684E-01	6.319682E-04
4.701816E-01	7.353822E-04
4.863947E-01	8.395910E-04
5.026079E-01	9.786288E-04
5.188210E-01	1.137018E-03
5.350342E-01	1.324733E-03
5.512473E-01	1.518488E-03
5.674605E-01	1.760383E-03
5.836737E-01	2.032936E-03
5.998868E-01	2.343655E-03
6.161000E-01	2.698223E-03
6.323131E-01	3.128648E-03
6.485263E-01	3.609717E-03
6.647394E-01	4.157563E-03
6.809526E-01	4.815261E-03
6.971657E-01	5.543292E-03
7.133789E-01	6.413201E-03
7.295921E-01	7.417659E-03
7.458052E-01	8.517087E-03
7.620184E-01	9.786268E-03
7.782315E-01	1.121173E-02
7.944447E-01	1.283419E-02
8.106578E-01	1.462531E-02
8.268710E-01	1.659463E-02
8.430842E-01	1.864022E-02
8.592973E-01	2.095419E-02
8.755105E-01	2.340132E-02
8.917236E-01	2.600265E-02
9.079368E-01	2.872930E-02
9.241499E-01	3.163429E-02
9.403631E-01	3.459764E-02
9.565763E-01	3.783127E-02
9.727894E-01	4.108264E-02
9.890026E-01	4.428212E-02
1.005216E+00	4.700607E-02
1.021429E+00	4.866898E-02
1.037642E+00	4.929497E-02
1.053855E+00	4.913493E-02
1.070068E+00	4.838016E-02
1.086282E+00	4.678746E-02
1.102495E+00	4.435039E-02
1.118708E+00	4.115840E-02
1.134921E+00	3.739121E-02
1.151134E+00	3.293020E-02
1.167347E+00	2.805579E-02
1.183560E+00	2.301168E-02
1.199774E+00	1.842837E-02
1.215987E+00	1.434910E-02
1.232200E+00	1.088623E-02
1.248413E+00	7.961651E-03
1.264626E+00	5.615632E-03
1.280839E+00	3.839294E-03
1.297053E+00	2.568225E-03
1.313266E+00	1.691043E-03
1.329479E+00	1.106918E-03
1.345692E+00	6.963611E-04
1.361905E+00	4.305442E-04
1.378118E+00	2.570152E-04
1.394331E+00	1.490315E-04
1.410545E+00	8.400281E-05
1.426758E+00	4.579624E-05
1.442971E+00	2.429883E-05
1.459184E+00	1.259645E-05
1.475397E+00	6.496906E-06
1.491610E+00	3.039837E-06
1.507824E+00	1.569589E-06
1.524037E+00	7.351240E-07
1.540250E+00	3.178914E-07
1.556463E+00	1.589457E-07
1.572676E+00	7.947286E-08
1.588889E+00	9.934107E-08
1.605103E+00	3.973643E-08
