maxi:1.443741E+00	mini:1.062469E-01
1.062469E-01	1.986821E-08
1.197570E-01	1.986821E-08
1.332670E-01	0.000000E+00
1.467771E-01	1.986821E-08
1.602871E-01	1.986821E-08
1.737971E-01	1.986821E-08
1.873072E-01	7.947286E-08
2.008172E-01	5.960464E-08
2.143273E-01	9.934107E-08
2.278373E-01	1.788139E-07
2.413473E-01	1.589457E-07
2.548574E-01	3.973643E-07
2.683674E-01	2.185504E-07
2.818775E-01	5.165736E-07
2.953875E-01	4.967054E-07
3.088975E-01	7.947286E-07
3.224076E-01	8.940697E-07
3.359176E-01	1.410643E-06
3.494277E-01	1.748403E-06
3.629377E-01	2.702077E-06
3.764477E-01	3.198783E-06
3.899578E-01	4.072984E-06
4.034678E-01	5.483627E-06
4.169779E-01	8.046627E-06
4.304879E-01	1.072884E-05
4.439979E-01	1.368920E-05
4.575080E-01	1.780192E-05
4.710180E-01	2.314647E-05
4.845281E-01	2.934535E-05
4.980381E-01	3.916025E-05
5.115481E-01	5.159775E-05
5.250582E-01	6.457170E-05
5.385682E-01	8.086363E-05
5.520782E-01	1.021425E-04
5.655883E-01	1.286268E-04
5.790983E-01	1.619061E-04
5.926084E-01	2.015432E-04
6.061184E-01	2.534191E-04
6.196284E-01	3.161828E-04
6.331385E-01	3.959139E-04
6.466485E-01	4.955729E-04
6.601586E-01	6.291469E-04
6.736686E-01	7.898808E-04
6.871786E-01	1.009027E-03
7.006887E-01	1.278897E-03
7.141987E-01	1.638810E-03
7.277088E-01	2.086083E-03
7.412188E-01	2.662659E-03
7.547288E-01	3.414412E-03
7.682389E-01	4.335602E-03
7.817489E-01	5.483230E-03
7.952590E-01	6.844083E-03
8.087690E-01	8.463224E-03
8.222790E-01	1.024864E-02
8.357891E-01	1.222603E-02
8.492991E-01	1.439865E-02
8.628092E-01	1.679707E-02
8.763192E-01	1.950337E-02
8.898292E-01	2.253121E-02
9.033393E-01	2.603287E-02
9.168493E-01	2.980097E-02
9.303593E-01	3.401717E-02
9.438694E-01	3.892658E-02
9.573794E-01	4.491142E-02
9.708895E-01	5.244205E-02
9.843995E-01	6.100561E-02
9.979095E-01	6.724860E-02
1.011420E+00	6.869942E-02
1.024930E+00	6.474727E-02
1.038440E+00	5.847647E-02
1.051950E+00	5.214872E-02
1.065460E+00	4.627548E-02
1.078970E+00	4.096282E-02
1.092480E+00	3.565470E-02
1.105990E+00	3.049584E-02
1.119500E+00	2.575942E-02
1.133010E+00	2.159782E-02
1.146520E+00	1.791813E-02
1.160030E+00	1.445496E-02
1.173540E+00	1.111925E-02
1.187050E+00	7.889291E-03
1.200560E+00	5.167147E-03
1.214070E+00	3.199001E-03
1.227580E+00	1.917760E-03
1.241090E+00	1.109004E-03
1.254600E+00	6.242394E-04
1.268110E+00	3.272692E-04
1.281620E+00	1.636346E-04
1.295130E+00	7.911523E-05
1.308640E+00	3.737211E-05
1.322150E+00	1.829863E-05
1.335661E+00	8.225441E-06
1.349171E+00	3.616015E-06
1.362681E+00	2.106031E-06
1.376191E+00	7.549922E-07
1.389701E+00	3.774961E-07
1.403211E+00	2.384186E-07
1.416721E+00	1.986821E-08
1.430231E+00	1.986821E-08
1.443741E+00	3.973643E-08
