maxi:1.987091E+00	mini:0.000000E+00
0.000000E+00	5.809466E-05
2.007163E-02	1.175404E-04
4.014325E-02	1.208385E-04
6.021488E-02	1.233617E-04
8.028651E-02	1.332959E-04
1.003581E-01	1.452764E-04
1.204298E-01	1.596808E-04
1.405014E-01	1.758536E-04
1.605730E-01	1.936952E-04
1.806446E-01	2.194842E-04
2.007163E-01	2.435644E-04
2.207879E-01	2.829432E-04
2.408595E-01	3.226797E-04
2.609311E-01	3.665884E-04
2.810028E-01	4.225771E-04
3.010744E-01	4.924138E-04
3.211460E-01	5.631447E-04
3.412177E-01	6.511211E-04
3.612893E-01	7.479986E-04
3.813609E-01	8.628170E-04
4.014325E-01	9.976824E-04
4.215042E-01	1.148482E-03
4.415758E-01	1.341045E-03
4.616474E-01	1.551628E-03
4.817190E-01	1.784861E-03
5.017907E-01	2.054969E-03
5.218623E-01	2.384841E-03
5.419339E-01	2.748569E-03
5.620056E-01	3.187339E-03
5.820772E-01	3.660937E-03
6.021488E-01	4.232446E-03
6.222204E-01	4.894813E-03
6.422921E-01	5.631606E-03
6.623637E-01	6.501834E-03
6.824353E-01	7.489443E-03
7.025069E-01	8.630971E-03
7.225786E-01	9.950697E-03
7.426502E-01	1.146535E-02
7.627218E-01	1.314739E-02
7.827934E-01	1.511874E-02
8.028651E-01	1.726117E-02
8.229367E-01	1.964553E-02
8.430083E-01	2.227543E-02
8.630800E-01	2.504722E-02
8.831516E-01	2.809983E-02
9.032232E-01	3.134761E-02
9.232948E-01	3.477440E-02
9.433665E-01	3.830791E-02
9.634381E-01	4.191601E-02
9.835097E-01	4.559245E-02
1.003581E+00	4.895053E-02
1.023653E+00	5.158808E-02
1.043725E+00	5.329780E-02
1.063796E+00	5.403229E-02
1.083868E+00	5.392412E-02
1.103939E+00	5.242167E-02
1.124011E+00	4.966138E-02
1.144083E+00	4.550155E-02
1.164154E+00	3.993917E-02
1.184226E+00	3.369574E-02
1.204298E+00	2.729475E-02
1.224369E+00	2.129672E-02
1.244441E+00	1.595690E-02
1.264512E+00	1.148733E-02
1.284584E+00	7.988155E-03
1.304656E+00	5.373617E-03
1.324727E+00	3.540973E-03
1.344799E+00	2.250731E-03
1.364871E+00	1.383265E-03
1.384942E+00	8.224249E-04
1.405014E+00	4.682144E-04
1.425086E+00	2.538363E-04
1.445157E+00	1.330773E-04
1.465229E+00	7.009506E-05
1.485300E+00	3.643831E-05
1.505372E+00	1.796087E-05
1.525444E+00	9.417534E-06
1.545515E+00	4.371007E-06
1.565587E+00	2.582868E-06
1.585659E+00	1.490116E-06
1.605730E+00	4.967054E-07
1.625802E+00	2.582868E-07
1.645873E+00	1.986821E-07
1.665945E+00	3.973643E-08
1.686017E+00	0.000000E+00
1.706088E+00	3.973643E-08
1.726160E+00	0.000000E+00
1.746232E+00	1.986821E-08
1.766303E+00	3.973643E-08
1.786375E+00	1.986821E-08
1.806446E+00	0.000000E+00
1.826518E+00	0.000000E+00
1.846590E+00	0.000000E+00
1.866661E+00	0.000000E+00
1.886733E+00	1.986821E-08
1.906805E+00	0.000000E+00
1.926876E+00	0.000000E+00
1.946948E+00	0.000000E+00
1.967019E+00	0.000000E+00
1.987091E+00	1.986821E-08
