maxi:1.604553E+00	mini:0.000000E+00
0.000000E+00	1.486142E-05
1.620761E-02	3.113349E-05
3.241522E-02	3.214677E-05
4.862282E-02	3.290176E-05
6.483043E-02	3.317992E-05
8.103804E-02	3.608068E-05
9.724565E-02	4.039208E-05
1.134533E-01	4.466375E-05
1.296609E-01	5.098184E-05
1.458685E-01	5.604823E-05
1.620761E-01	6.246567E-05
1.782837E-01	7.049243E-05
1.944913E-01	8.082390E-05
2.106989E-01	9.316206E-05
2.269065E-01	1.059373E-04
2.431141E-01	1.205603E-04
2.593217E-01	1.384616E-04
2.755293E-01	1.611312E-04
2.917369E-01	1.845956E-04
3.079446E-01	2.096891E-04
3.241522E-01	2.428492E-04
3.403598E-01	2.793272E-04
3.565674E-01	3.257394E-04
3.727750E-01	3.705422E-04
3.889826E-01	4.266500E-04
4.051902E-01	4.954537E-04
4.213978E-01	5.682508E-04
4.376054E-01	6.549358E-04
4.538130E-01	7.515351E-04
4.700206E-01	8.685589E-04
4.862282E-01	9.987553E-04
5.024359E-01	1.141349E-03
5.186435E-01	1.319547E-03
5.348511E-01	1.504560E-03
5.510587E-01	1.732131E-03
5.672663E-01	1.980762E-03
5.834739E-01	2.272904E-03
5.996815E-01	2.587497E-03
6.158891E-01	2.982775E-03
6.320967E-01	3.420273E-03
6.483043E-01	3.916065E-03
6.645119E-01	4.455547E-03
6.807195E-01	5.128046E-03
6.969272E-01	5.896926E-03
7.131348E-01	6.748656E-03
7.293424E-01	7.685502E-03
7.455500E-01	8.785009E-03
7.617576E-01	1.001342E-02
7.779652E-01	1.138429E-02
7.941728E-01	1.295406E-02
8.103804E-01	1.465901E-02
8.265880E-01	1.654251E-02
8.427956E-01	1.853089E-02
8.590032E-01	2.067433E-02
8.752108E-01	2.298762E-02
8.914185E-01	2.540543E-02
9.076261E-01	2.798158E-02
9.238337E-01	3.071191E-02
9.400413E-01	3.346868E-02
9.562489E-01	3.640286E-02
9.724565E-01	3.951546E-02
9.886641E-01	4.237163E-02
1.004872E+00	4.488401E-02
1.021079E+00	4.665732E-02
1.037287E+00	4.750498E-02
1.053495E+00	4.764036E-02
1.069702E+00	4.725917E-02
1.085910E+00	4.609855E-02
1.102117E+00	4.405262E-02
1.118325E+00	4.133205E-02
1.134533E+00	3.792775E-02
1.150740E+00	3.377837E-02
1.166948E+00	2.916884E-02
1.183155E+00	2.433864E-02
1.199363E+00	1.976325E-02
1.215571E+00	1.566229E-02
1.231778E+00	1.208792E-02
1.247986E+00	9.027898E-03
1.264193E+00	6.497939E-03
1.280401E+00	4.561404E-03
1.296609E+00	3.136416E-03
1.312816E+00	2.127548E-03
1.329024E+00	1.401126E-03
1.345231E+00	9.224614E-04
1.361439E+00	5.815029E-04
1.377647E+00	3.570120E-04
1.393854E+00	2.120336E-04
1.410062E+00	1.247724E-04
1.426270E+00	6.896257E-05
1.442477E+00	3.776948E-05
1.458685E+00	2.044439E-05
1.474892E+00	1.130501E-05
1.491100E+00	5.622705E-06
1.507308E+00	2.940496E-06
1.523515E+00	1.529853E-06
1.539723E+00	6.357829E-07
1.555930E+00	4.768372E-07
1.572138E+00	2.582868E-07
1.588346E+00	2.185504E-07
1.604553E+00	5.960464E-08
