maxi:2.271545E+00	mini:0.000000E+00
0.000000E+00	1.077453E-04
2.294490E-02	2.132456E-04
4.588981E-02	2.173980E-04
6.883471E-02	2.309680E-04
9.177961E-02	2.442598E-04
1.147245E-01	2.718965E-04
1.376694E-01	2.943675E-04
1.606143E-01	3.282626E-04
1.835592E-01	3.758073E-04
2.065041E-01	4.183451E-04
2.294490E-01	4.795591E-04
2.523939E-01	5.490581E-04
2.753388E-01	6.353855E-04
2.982837E-01	7.258654E-04
3.212286E-01	8.477569E-04
3.441735E-01	9.850462E-04
3.671185E-01	1.139979E-03
3.900634E-01	1.320541E-03
4.130083E-01	1.532952E-03
4.359532E-01	1.784523E-03
4.588981E-01	2.072513E-03
4.818430E-01	2.411425E-03
5.047879E-01	2.810518E-03
5.277328E-01	3.291627E-03
5.506777E-01	3.809293E-03
5.736226E-01	4.429599E-03
5.965675E-01	5.157789E-03
6.195124E-01	5.976319E-03
6.424573E-01	6.952564E-03
6.654022E-01	8.075813E-03
6.883471E-01	9.421190E-03
7.112920E-01	1.092285E-02
7.342369E-01	1.271198E-02
7.571818E-01	1.472863E-02
7.801267E-01	1.704246E-02
8.030716E-01	1.964180E-02
8.260165E-01	2.252835E-02
8.489614E-01	2.577949E-02
8.719063E-01	2.918049E-02
8.948512E-01	3.289914E-02
9.177961E-01	3.694157E-02
9.407410E-01	4.109510E-02
9.636859E-01	4.538381E-02
9.866308E-01	4.969635E-02
1.009576E+00	5.353304E-02
1.032521E+00	5.662994E-02
1.055466E+00	5.863424E-02
1.078410E+00	5.945710E-02
1.101355E+00	5.867275E-02
1.124300E+00	5.617174E-02
1.147245E+00	5.156281E-02
1.170190E+00	4.504510E-02
1.193135E+00	3.735638E-02
1.216080E+00	2.955558E-02
1.239025E+00	2.232079E-02
1.261970E+00	1.599886E-02
1.284915E+00	1.098933E-02
1.307859E+00	7.273058E-03
1.330804E+00	4.660885E-03
1.353749E+00	2.853771E-03
1.376694E+00	1.678308E-03
1.399639E+00	9.344021E-04
1.422584E+00	5.030235E-04
1.445529E+00	2.561410E-04
1.468474E+00	1.258055E-04
1.491419E+00	6.345908E-05
1.514364E+00	3.010035E-05
1.537309E+00	1.440446E-05
1.560253E+00	7.847945E-06
1.583198E+00	3.675620E-06
1.606143E+00	1.966953E-06
1.629088E+00	8.145968E-07
1.652033E+00	4.569689E-07
1.674978E+00	1.986821E-07
1.697923E+00	9.934107E-08
1.720868E+00	3.973643E-08
1.743813E+00	1.986821E-08
1.766758E+00	5.960464E-08
1.789702E+00	1.986821E-08
1.812647E+00	3.973643E-08
1.835592E+00	3.973643E-08
1.858537E+00	0.000000E+00
1.881482E+00	0.000000E+00
1.904427E+00	1.986821E-08
1.927372E+00	0.000000E+00
1.950317E+00	0.000000E+00
1.973262E+00	3.973643E-08
1.996207E+00	0.000000E+00
2.019151E+00	0.000000E+00
2.042096E+00	0.000000E+00
2.065041E+00	1.986821E-08
2.087986E+00	0.000000E+00
2.110931E+00	0.000000E+00
2.133876E+00	0.000000E+00
2.156821E+00	0.000000E+00
2.179766E+00	0.000000E+00
2.202711E+00	1.986821E-08
2.225656E+00	0.000000E+00
2.248601E+00	0.000000E+00
2.271545E+00	1.986821E-08
