maxi:1.811707E+00	mini:0.000000E+00
0.000000E+00	4.418691E-05
1.830007E-02	8.889039E-05
3.660013E-02	9.415547E-05
5.490020E-02	9.723504E-05
7.320026E-02	9.824832E-05
9.150033E-02	1.125137E-04
1.098004E-01	1.178185E-04
1.281005E-01	1.305938E-04
1.464005E-01	1.445214E-04
1.647006E-01	1.579920E-04
1.830007E-01	1.795888E-04
2.013007E-01	2.021194E-04
2.196008E-01	2.261996E-04
2.379009E-01	2.538562E-04
2.562009E-01	2.908508E-04
2.745010E-01	3.265341E-04
2.928011E-01	3.740191E-04
3.111011E-01	4.382133E-04
3.294012E-01	4.929105E-04
3.477013E-01	5.679727E-04
3.660013E-01	6.467700E-04
3.843014E-01	7.425547E-04
4.026015E-01	8.539955E-04
4.209015E-01	9.679596E-04
4.392016E-01	1.118700E-03
4.575017E-01	1.295427E-03
4.758017E-01	1.468579E-03
4.941018E-01	1.695911E-03
5.124019E-01	1.909932E-03
5.307019E-01	2.202451E-03
5.490020E-01	2.520780E-03
5.673020E-01	2.879937E-03
5.856021E-01	3.306349E-03
6.039022E-01	3.763318E-03
6.222022E-01	4.321794E-03
6.405023E-01	4.930377E-03
6.588024E-01	5.631785E-03
6.771024E-01	6.432235E-03
6.954025E-01	7.337014E-03
7.137026E-01	8.429170E-03
7.320026E-01	9.590288E-03
7.503027E-01	1.092557E-02
7.686028E-01	1.242113E-02
7.869028E-01	1.412821E-02
8.052029E-01	1.599244E-02
8.235030E-01	1.804731E-02
8.418030E-01	2.028261E-02
8.601031E-01	2.264635E-02
8.784032E-01	2.518761E-02
8.967032E-01	2.796308E-02
9.150033E-01	3.082067E-02
9.333034E-01	3.383174E-02
9.516034E-01	3.687884E-02
9.699035E-01	4.005426E-02
9.882036E-01	4.311119E-02
1.006504E+00	4.592560E-02
1.024804E+00	4.807307E-02
1.043104E+00	4.932431E-02
1.061404E+00	4.996163E-02
1.079704E+00	4.985201E-02
1.098004E+00	4.872745E-02
1.116304E+00	4.660529E-02
1.134604E+00	4.343633E-02
1.152904E+00	3.919897E-02
1.171204E+00	3.401117E-02
1.189504E+00	2.857731E-02
1.207804E+00	2.329067E-02
1.226104E+00	1.829213E-02
1.244404E+00	1.394677E-02
1.262705E+00	1.022983E-02
1.281005E+00	7.294695E-03
1.299305E+00	5.060534E-03
1.317605E+00	3.447453E-03
1.335905E+00	2.292633E-03
1.354205E+00	1.470049E-03
1.372505E+00	9.232561E-04
1.390805E+00	5.596479E-04
1.409105E+00	3.233552E-04
1.427405E+00	1.809796E-04
1.445705E+00	1.013279E-04
1.464005E+00	5.592903E-05
1.482305E+00	3.039837E-05
1.500605E+00	1.507998E-05
1.518905E+00	8.086363E-06
1.537206E+00	4.291534E-06
1.555506E+00	2.384186E-06
1.573806E+00	1.231829E-06
1.592106E+00	7.549922E-07
1.610406E+00	2.582868E-07
1.628706E+00	1.788139E-07
1.647006E+00	3.973643E-08
1.665306E+00	3.973643E-08
1.683606E+00	1.986821E-08
1.701906E+00	1.986821E-08
1.720206E+00	0.000000E+00
1.738506E+00	0.000000E+00
1.756806E+00	1.986821E-08
1.775106E+00	0.000000E+00
1.793406E+00	1.986821E-08
1.811707E+00	1.986821E-08
