maxi:2.434296E+00	mini:0.000000E+00
0.000000E+00	1.480182E-04
2.458884E-02	2.999306E-04
4.917769E-02	3.072421E-04
7.376653E-02	3.313025E-04
9.835538E-02	3.542304E-04
1.229442E-01	3.841321E-04
1.475331E-01	4.244844E-04
1.721219E-01	4.649162E-04
1.967108E-01	5.281965E-04
2.212996E-01	6.021659E-04
2.458884E-01	6.866455E-04
2.704773E-01	7.891258E-04
2.950661E-01	9.093285E-04
3.196550E-01	1.063704E-03
3.442438E-01	1.227637E-03
3.688327E-01	1.411160E-03
3.934215E-01	1.639326E-03
4.180104E-01	1.922150E-03
4.425992E-01	2.222200E-03
4.671881E-01	2.614299E-03
4.917769E-01	3.030161E-03
5.163657E-01	3.540893E-03
5.409546E-01	4.137854E-03
5.655434E-01	4.835784E-03
5.901323E-01	5.599856E-03
6.147211E-01	6.540080E-03
6.393100E-01	7.618348E-03
6.638988E-01	8.919577E-03
6.884877E-01	1.038084E-02
7.130765E-01	1.209019E-02
7.376653E-01	1.408072E-02
7.622542E-01	1.639994E-02
7.868430E-01	1.896121E-02
8.114319E-01	2.195652E-02
8.360207E-01	2.525000E-02
8.606096E-01	2.881114E-02
8.851984E-01	3.273853E-02
9.097873E-01	3.694278E-02
9.343761E-01	4.137069E-02
9.589650E-01	4.600060E-02
9.835538E-01	5.065596E-02
1.008143E+00	5.492630E-02
1.032731E+00	5.848253E-02
1.057320E+00	6.099731E-02
1.081909E+00	6.207583E-02
1.106498E+00	6.142467E-02
1.131087E+00	5.857507E-02
1.155676E+00	5.329690E-02
1.180265E+00	4.576695E-02
1.204853E+00	3.728843E-02
1.229442E+00	2.879395E-02
1.254031E+00	2.106392E-02
1.278620E+00	1.460131E-02
1.303209E+00	9.730021E-03
1.327798E+00	6.251216E-03
1.352386E+00	3.816485E-03
1.376975E+00	2.220333E-03
1.401564E+00	1.217683E-03
1.426153E+00	6.405711E-04
1.450742E+00	3.253023E-04
1.475331E+00	1.584888E-04
1.499920E+00	7.979075E-05
1.524508E+00	3.774961E-05
1.549097E+00	1.819928E-05
1.573686E+00	8.980433E-06
1.598275E+00	4.827976E-06
1.622864E+00	2.125899E-06
1.647453E+00	1.211961E-06
1.672041E+00	6.357829E-07
1.696630E+00	3.973643E-07
1.721219E+00	2.781550E-07
1.745808E+00	7.947286E-08
1.770397E+00	5.960464E-08
1.794986E+00	9.934107E-08
1.819575E+00	9.934107E-08
1.844163E+00	7.947286E-08
1.868752E+00	1.986821E-08
1.893341E+00	1.986821E-08
1.917930E+00	1.986821E-08
1.942519E+00	1.986821E-08
1.967108E+00	0.000000E+00
1.991696E+00	1.986821E-08
2.016285E+00	0.000000E+00
2.040874E+00	1.986821E-08
2.065463E+00	3.973643E-08
2.090052E+00	1.986821E-08
2.114641E+00	0.000000E+00
2.139230E+00	0.000000E+00
2.163818E+00	0.000000E+00
2.188407E+00	0.000000E+00
2.212996E+00	0.000000E+00
2.237585E+00	0.000000E+00
2.262174E+00	0.000000E+00
2.286763E+00	0.000000E+00
2.311351E+00	3.973643E-08
2.335940E+00	0.000000E+00
2.360529E+00	0.000000E+00
2.385118E+00	0.000000E+00
2.409707E+00	0.000000E+00
2.434296E+00	1.986821E-08
