    0.50000E+01    0.10472E+00    0.94040E+04    0.39718E+01    0.27988E+04
    0.61203E+01    0.12818E+00    0.11792E+05    0.52772E+01    0.28481E+04
    0.74916E+01    0.15690E+00    0.11643E+05    0.65648E+01    0.26384E+04
    0.91701E+01    0.19206E+00    0.10058E+05    0.77331E+01    0.22857E+04
    0.11225E+02    0.23509E+00    0.82298E+04    0.95329E+01    0.20722E+04
    0.13740E+02    0.28777E+00    0.14326E+05    0.11367E+02    0.19496E+04
    0.16818E+02    0.35224E+00    0.17521E+05    0.13690E+02    0.17494E+04
    0.20587E+02    0.43116E+00    0.14479E+05    0.16140E+02    0.15845E+04
    0.25199E+02    0.52777E+00    0.19584E+05    0.18512E+02    0.13814E+04
    0.30845E+02    0.64602E+00    0.17785E+05    0.20965E+02    0.11973E+04
    0.37756E+02    0.79077E+00    0.20800E+05    0.23879E+02    0.10160E+04
    0.46216E+02    0.96795E+00    0.25184E+05    0.26948E+02    0.84786E+03
    0.56571E+02    0.11848E+01    0.23146E+05    0.30507E+02    0.68496E+03
    0.69246E+02    0.14503E+01    0.26912E+05    0.35066E+02    0.53558E+03
    0.84762E+02    0.17752E+01    0.58337E+05    0.40144E+02    0.42671E+03
    0.10375E+03    0.21730E+01    0.21707E+06    0.46035E+02    0.33160E+03
    0.12700E+03    0.26599E+01    0.40163E+06    0.51696E+02    0.32867E+03
